age,type,origin,rarity
31,2,5,0.938416
952,2,2,0.939189
5,2,5,0.939252
32,2,5,0.939306
951,2,2,0.939732
33,2,5,0.939828
950,2,2,0.940659
8946,3,2,0.940937
944,2,2,0.941176
7,2,5,0.941704
8942,3,2,0.941909
8945,3,2,0.941909
2677,4,4,0.942505
37,2,5,0.942779
8921,3,2,0.942857
8947,3,2,0.942973
8922,3,2,0.942982
8939,3,2,0.943038
6139,0,2,0.943355
6140,0,2,0.943355
38,2,5,0.943548
936,2,2,0.943723
964,2,2,0.943794
962,2,2,0.943925
4269,3,0,0.944086
1939,3,0,0.944099
6148,0,2,0.944326
1940,3,0,0.944444
7472,1,5,0.944444
7482,1,5,0.944563
992,2,2,0.944573
6146,0,2,0.944681
6134,0,2,0.94469
7484,1,5,0.944798
1933,3,0,0.944898
8932,3,2,0.944915
7475,1,5,0.944915
8931,3,2,0.945148
44,2,5,0.945409
6129,0,2,0.945415
8958,3,2,0.945455
1930,3,0,0.945455
2041,1,0,0.945534
8913,3,2,0.945534
22,2,5,0.945578
5463,0,3,0.945607
6739,3,4,0.94577
8899,3,2,0.945824
970,2,2,0.945882
2044,1,0,0.945887
7899,4,1,0.946004
4271,3,0,0.946004
2778,4,5,0.946058
2781,4,5,0.946058
4273,3,0,0.946121
539,1,6,0.946281
543,1,6,0.946281
4272,3,0,0.946352
726,4,0,0.946352
723,4,0,0.946352
2046,1,0,0.946467
3505,4,4,0.946548
8935,3,2,0.946581
348,2,6,0.946581
7908,4,1,0.946581
24,2,5,0.946667
7911,4,1,0.946695
46,2,5,0.946731
7479,1,5,0.946809
7467,1,5,0.946809
537,1,6,0.94683
6131,0,2,0.946903
8928,3,2,0.946921
1948,3,0,0.946939
8910,3,2,0.94702
2668,4,4,0.947047
8903,3,2,0.947137
8908,3,2,0.947253
8813,3,6,0.947257
2667,4,4,0.947262
1953,3,0,0.947368
8909,3,2,0.947484
1952,3,0,0.947581
8812,3,6,0.947589
4196,2,3,0.947608
1954,3,0,0.947686
4865,4,1,0.947686
1624,1,4,0.947712
3482,4,4,0.947712
48,2,5,0.947743
3501,4,4,0.947846
3503,4,4,0.947846
998,2,2,0.947846
8811,3,6,0.947917
7904,4,1,0.947939
