age,type,origin,rarity
2724,4,0,0.934426
2728,4,0,0.935096
2712,4,0,0.935252
3620,0,4,0.9354
2726,4,0,0.935407
3570,0,4,0.935484
2737,4,0,0.937349
2732,4,0,0.93765
2736,4,0,0.937799
3574,0,4,0.937838
3572,0,4,0.938172
3588,0,4,0.938338
3576,0,4,0.938338
3581,0,4,0.938503
4839,2,6,0.93883
2694,4,0,0.938875
2707,4,0,0.938875
3584,0,4,0.939314
3562,0,4,0.93956
3609,0,4,0.939948
4830,2,6,0.940054
4832,2,6,0.940379
4850,2,6,0.940568
3615,0,4,0.940568
2741,4,0,0.940594
4419,1,3,0.940874
3612,0,4,0.940874
2698,4,0,0.941176
2699,4,0,0.941176
2706,4,0,0.941176
3560,0,4,0.941341
474,1,4,0.94152
3596,0,4,0.941799
1531,2,1,0.941919
4464,1,3,0.941953
4476,1,3,0.942105
2703,4,0,0.942169
4463,1,3,0.942408
4846,2,6,0.942408
4812,2,6,0.942466
2743,4,0,0.9425
3599,0,4,0.942559
3602,0,4,0.942708
4462,1,3,0.942708
2692,4,0,0.942721
4414,1,3,0.942857
4824,2,6,0.942935
4828,2,6,0.942935
4582,2,4,0.943152
4576,2,4,0.943152
4437,1,3,0.943152
3614,0,4,0.943299
265,0,0,0.943396
3604,0,4,0.943445
3607,0,4,0.943445
791,2,1,0.943627
4431,1,3,0.943734
3413,3,0,0.94382
2473,4,3,0.94385
4572,2,4,0.943878
3698,4,1,0.943878
3412,3,0,0.944134
4467,1,3,0.944149
3632,0,4,0.944162
2689,4,0,0.944175
1532,2,1,0.944304
2688,4,0,0.94431
751,2,1,0.944444
1534,2,1,0.944584
4484,1,3,0.944591
1516,2,1,0.944591
1523,2,1,0.944737
4469,1,3,0.944737
270,0,0,0.944882
274,0,0,0.94517
4827,2,6,0.945205
3429,3,0,0.945245
281,0,0,0.945312
4895,1,1,0.945312
1294,0,1,0.945355
1283,0,1,0.945355
1843,3,2,0.945504
264,0,0,0.945504
7,3,3,0.945545
3846,3,6,0.945545
4879,1,1,0.945596
4894,1,1,0.945596
4893,1,1,0.945596
4821,2,6,0.945652
1846,3,2,0.945799
2478,4,3,0.945799
4901,1,1,0.945876
4491,1,3,0.945946
4800,2,6,0.945946
3015,2,3,0.945946
1856,3,2,0.945946
1851,3,2,0.945946
3841,3,6,0.946078
1853,3,2,0.946092
262,0,0,0.946092
4801,2,6,0.946092
4408,1,3,0.946154
4900,1,1,0.946154
3901,3,0,0.946237
1508,2,1,0.946237
306,0,0,0.946237
422,2,2,0.946269
3223,2,2,0.946292
3238,2,2,0.946429
3677,4,1,0.946429
3415,3,0,0.946479
4447,1,3,0.946524
4450,1,3,0.946524
549,1,2,0.946524
313,0,0,0.946524
3410,3,0,0.946629
12,0,3,0.946667
3225,2,2,0.946701
506,1,4,0.946779
3431,3,0,0.946779
3411,3,0,0.946779
289,0,0,0.946809
4560,2,4,0.946809
4445,1,3,0.946809
1859,3,2,0.946809
4557,2,4,0.946809
746,2,1,0.94697
3680,4,1,0.94697
508,1,4,0.947075
2991,2,3,0.947103
3627,2,0,0.947103
3627,0,4,0.947103
3862,1,4,0.947103
4553,2,4,0.94723
1512,2,1,0.94723
2454,1,6,0.947368
273,4,5,0.947368
555,1,4,0.947368
4774,4,5,0.947368
3234,2,2,0.9475
4856,2,6,0.947507
560,1,2,0.947507
3893,3,0,0.947507
3407,3,0,0.947514
518,1,4,0.947514
511,1,4,0.947514
4587,2,4,0.947631
3693,4,1,0.947631
4586,2,4,0.947631
298,4,5,0.947644
4456,1,3,0.947644
4495,1,3,0.947644
2455,1,6,0.947658
519,1,4,0.947658
4985,0,1,0.947791
1290,0,1,0.947802
2453,1,6,0.947802
1839,3,2,0.947802
513,1,4,0.947802
4808,2,6,0.947802
9,3,3,0.947867
3866,1,4,0.947891
281,4,4,0.947917
4272,2,4,0.947917
3399,3,0,0.948087
3854,3,6,0.948148
4909,1,1,0.948187
1902,4,5,0.948187
4904,1,1,0.948187
2419,2,4,0.948229
3554,0,4,0.948229
3418,3,0,0.948276
469,1,4,0.948276
4038,1,0,0.948276
1886,3,2,0.94832
3019,2,3,0.94837
3507,2,2,0.94837
315,0,0,0.94837
4034,1,0,0.948403
4616,2,2,0.948454
4876,1,1,0.948454
3218,2,2,0.948454
263,4,4,0.948509
4032,1,0,0.948529
3840,1,4,0.948529
482,1,4,0.948571
1898,4,5,0.948586
3388,3,0,0.948649
3493,2,2,0.948649
793,2,1,0.948655
2685,4,0,0.948655
4912,1,1,0.948718
3491,2,2,0.948787
430,2,2,0.948795
4911,1,1,0.948849
1888,3,2,0.948849
1903,4,5,0.948849
1887,3,2,0.948849
4612,2,2,0.948849
1509,2,1,0.948925
1654,3,0,0.948925
3904,3,0,0.948925
1908,4,5,0.94898
4051,1,0,0.949029
2753,4,0,0.949029
3588,2,0,0.949062
1506,2,1,0.949062
1869,3,2,0.949062
3589,2,0,0.949062
541,1,2,0.949062
2422,2,4,0.949062
4448,1,3,0.949062
10,3,3,0.949074
3167,3,6,0.949109
4052,1,0,0.949153
796,2,1,0.949153
3709,4,1,0.949239
1906,4,5,0.949239
413,2,2,0.949254
789,2,1,0.949275
190,2,5,0.949275
2681,4,0,0.949275
2330,2,6,0.949296
3592,2,0,0.949333
4559,2,4,0.949333
559,1,4,0.949333
300,0,0,0.949333
3577,2,0,0.949333
2985,2,3,0.949367
3873,1,4,0.949367
3882,3,0,0.949367
539,1,2,0.949468
574,1,2,0.949468
3718,4,1,0.949495
743,2,1,0.949495
3711,4,1,0.949495
819,2,1,0.949495
295,0,0,0.949602
291,0,0,0.949602
1658,3,0,0.949602
1651,3,0,0.949602
3870,1,4,0.949622
4607,2,2,0.949622
3862,3,6,0.949622
3594,2,0,0.949735
875,1,3,0.949749
878,1,3,0.949749
883,1,3,0.949749
412,2,2,0.949853
517,1,4,0.949861
3587,2,0,0.949868
3584,2,0,0.949868
1865,3,2,0.949868
557,1,2,0.949868
3868,1,4,0.949875
1278,0,1,0.95
1650,3,0,0.95
296,0,0,0.95
1318,3,4,0.95
1872,3,2,0.95
297,0,0,0.95
1823,3,2,0.95
