age,type,origin,rarity
1453,3,2,0.925926
1450,3,2,0.926316
1473,3,2,0.930464
1448,3,2,0.930556
1202,1,3,0.933333
1470,3,2,0.933775
1206,1,3,0.933962
1197,1,3,0.934169
1195,1,3,0.934783
264,4,6,0.934853
1215,1,3,0.934985
265,4,6,0.935065
263,4,6,0.935275
397,1,1,0.935976
1482,3,2,0.936102
401,1,1,0.936364
395,1,1,0.936364
268,4,6,0.936909
1409,3,2,0.937294
6,3,4,0.937853
259,4,6,0.93871
2480,4,3,0.939189
2483,4,3,0.939394
2438,4,3,0.93949
272,4,6,0.939577
273,4,6,0.939759
1413,3,2,0.939799
2448,4,3,0.940063
2435,4,3,0.940252
1425,3,2,0.940397
2451,4,3,0.940439
407,1,1,0.940476
1412,3,2,0.940594
26,3,4,0.940711
269,4,6,0.94081
1387,3,2,0.941176
295,4,6,0.941349
279,4,6,0.94152
278,4,6,0.94152
1393,3,2,0.941748
29,3,4,0.94186
1395,3,2,0.942122
2478,4,3,0.942177
1432,3,2,0.942177
17,3,4,0.942222
1226,1,3,0.942424
1435,3,2,0.942568
283,4,6,0.942693
409,1,1,0.942771
2455,4,3,0.942857
2445,4,3,0.942857
1497,3,2,0.942857
2470,4,3,0.942953
1427,3,2,0.942953
2446,4,3,0.943038
253,4,6,0.943038
1490,3,2,0.943038
2457,4,3,0.943038
321,1,5,0.943218
1429,3,2,0.943333
1487,3,2,0.943396
1500,3,2,0.943574
1496,3,2,0.943574
31,3,4,0.943609
2827,4,4,0.943709
1495,3,2,0.94375
1494,3,2,0.94375
2077,1,1,0.943925
2868,4,4,0.944099
1188,1,3,0.944272
315,1,5,0.944444
1187,1,3,0.944444
389,1,1,0.944444
207,0,1,0.944444
2282,1,3,0.944444
362,1,1,0.944615
387,1,1,0.944615
19,3,4,0.944681
1684,1,3,0.944785
33,3,4,0.944853
313,1,5,0.944954
819,4,5,0.944984
1229,1,3,0.945122
413,1,1,0.945122
37,3,4,0.945205
247,4,6,0.945338
1530,3,2,0.945455
2471,4,3,0.945578
21,3,4,0.945607
1529,3,2,0.945619
817,4,5,0.945687
2911,1,1,0.945763
213,0,1,0.94586
2909,1,1,0.945946
1485,0,1,0.946032
798,4,5,0.946032
245,4,6,0.946032
516,3,5,0.946108
2566,4,0,0.946269
1232,1,3,0.946269
379,1,1,0.946372
379,2,2,0.946372
325,1,5,0.946372
511,3,5,0.946429
1231,1,3,0.946429
2902,1,1,0.946488
610,2,5,0.946541
317,1,5,0.946541
938,2,3,0.946588
2084,1,1,0.946708
796,2,1,0.946708
319,1,5,0.946708
1773,1,0,0.946708
425,1,1,0.946746
1379,3,2,0.946844
2420,0,3,0.946875
2080,1,1,0.946875
316,1,5,0.946875
2870,4,4,0.946875
1770,1,0,0.946875
1494,0,1,0.946875
2560,4,0,0.946903
2422,4,3,0.94704
430,1,1,0.947059
2256,0,5,0.947183
200,0,1,0.947195
2813,0,0,0.947195
2815,0,0,0.947195
298,4,6,0.947214
1041,0,1,0.947368
1781,1,0,0.947368
1503,3,2,0.947368
2814,0,0,0.947368
1235,1,3,0.947522
389,2,4,0.947531
2823,4,4,0.947541
2498,4,3,0.947541
1475,0,1,0.947541
358,1,1,0.947692
387,2,4,0.947692
386,1,1,0.947692
1064,0,1,0.948012
1034,0,6,0.948012
2612,4,2,0.948012
2268,1,3,0.948097
1524,2,4,0.948171
2389,0,5,0.948171
1522,2,4,0.948171
1522,3,2,0.948171
2198,2,2,0.948276
492,3,5,0.948485
2896,1,1,0.948553
626,1,6,0.948571
1967,4,0,0.94863
172,0,1,0.94863
2224,0,5,0.94863
1537,2,4,0.94864
1507,3,2,0.94864
1691,1,3,0.948718
306,4,6,0.948795
1790,1,0,0.948795
2538,4,0,0.948795
2271,1,3,0.948805
833,4,5,0.94898
342,1,5,0.949045
2568,4,0,0.949102
1375,3,2,0.949153
1101,4,2,0.949254
925,2,3,0.949254
2779,2,2,0.949275
2722,0,5,0.949275
2720,0,5,0.949458
607,2,5,0.949527
767,2,1,0.949527
379,2,4,0.949527
246,0,1,0.949527
2396,0,5,0.949527
2286,1,3,0.949664
2041,2,4,0.949664
2839,4,4,0.949664
2809,0,0,0.949664
2874,4,4,0.949686
502,3,5,0.949704
2552,4,2,0.949704
2782,2,2,0.949821
2842,3,4,0.949833
2841,4,4,0.949833
197,0,1,0.949833
591,2,5,0.949843
353,1,1,0.949843
2433,0,3,0.949843
2395,0,5,0.949843
2125,2,0,0.949843
622,1,6,0.949853
2555,1,4,0.949853
2420,4,3,0.95
836,4,5,0.95
190,0,1,0.95
1707,2,4,0.95
2585,1,3,0.950147
2558,4,2,0.950147
1131,4,2,0.950147
2558,1,4,0.950147
589,2,5,0.950156
2497,3,3,0.950166
1239,1,3,0.950292
2556,1,4,0.950292
1243,1,3,0.950292
790,2,1,0.950311
1066,0,1,0.950311
488,3,5,0.950311
1421,1,6,0.950331
2843,4,4,0.950331
1369,3,2,0.950331
2298,1,3,0.950331
2246,0,5,0.950355
2562,1,4,0.950437
374,1,1,0.950464
784,2,1,0.950464
2415,4,3,0.950464
2427,0,3,0.950464
1990,1,1,0.950495
2297,1,3,0.950495
1173,0,0,0.950581
437,1,1,0.950581
2620,4,2,0.950617
2615,0,4,0.950617
1036,0,6,0.950617
1065,0,1,0.950617
2267,1,3,0.950704
1244,1,3,0.950725
12,0,2,0.950739
1035,0,1,0.950769
226,0,1,0.950769
157,0,1,0.95082
2294,1,3,0.95082
2498,3,3,0.95082
1245,2,4,0.950867
1043,0,6,0.95092
1027,0,1,0.95092
1027,0,6,0.95092
1513,2,4,0.95092
164,0,1,0.95098
2818,4,4,0.95098
1923,4,0,0.95098
